yas,gelir,abonelik_suresi,destek_talebi_sayisi,aylik_kullanim_saati,sehir,uyelik_tipi,churn
22,50303.0,11,4,66.8,İstanbul,Standard,1
59,20361.0,69,3,42.0,İzmir,Standard,1
52,25593.0,28,4,56.7,İstanbul,Standard,0
41,90326.0,71,2,29.4,İstanbul,Premium,0
40,28826.0,83,1,55.8,Antalya,Basic,1
63,32258.0,102,0,28.3,İstanbul,Premium,0
22,85064.0,60,3,61.6,İstanbul,Premium,0
54,104291.0,1,1,,İstanbul,Premium,0
28,30912.0,34,3,39.8,Ankara,Standard,0
22,45372.0,103,0,3.0,Bursa,Premium,0
45,58148.0,64,1,32.1,İstanbul,Basic,0
69,83117.0,75,3,,Ankara,Standard,0
56,34237.0,55,4,52.0,,Basic,0
58,47585.0,20,3,46.5,Bursa,Basic,0
56,65992.0,108,1,60.2,Bursa,Standard,0
59,59826.0,93,3,50.7,Bursa,Basic,1
45,45229.0,120,4,63.9,Antalya,Basic,0
24,49591.0,103,2,58.5,İstanbul,Premium,0
62,27252.0,35,8,69.4,İzmir,Basic,1
41,47713.0,31,2,48.5,İzmir,Standard,0
44,47205.0,30,2,58.3,İstanbul,Basic,0
37,56179.0,111,3,36.5,İstanbul,Standard,0
27,42004.0,67,0,31.2,Ankara,Standard,0
67,60488.0,55,3,72.7,İzmir,Basic,0
59,70229.0,117,1,45.9,Bursa,Standard,0
52,54798.0,73,2,56.5,Bursa,Premium,1
39,58332.0,110,1,44.2,,Premium,0
61,52957.0,119,3,31.4,Ankara,Basic,0
46,52002.0,10,1,42.2,İstanbul,Standard,0
41,39012.0,44,3,67.8,İzmir,Standard,0
41,57697.0,89,2,52.0,Antalya,Basic,0
30,50249.0,98,3,11.2,Antalya,Premium,1
22,89677.0,18,3,38.1,Antalya,Basic,0
47,80320.0,39,3,74.1,Bursa,Premium,0
65,58945.0,66,1,38.2,Antalya,Basic,0
21,38265.0,96,4,9.6,İstanbul,Basic,1
63,31977.0,14,1,76.1,Ankara,Premium,1
61,73441.0,73,4,54.3,Ankara,Premium,0
32,56729.0,36,1,40.7,İstanbul,Premium,0
51,60643.0,26,1,35.3,İstanbul,Premium,1
26,20597.0,62,0,61.5,,Standard,1
58,68694.0,50,0,32.2,Antalya,Basic,0
55,60180.0,77,0,62.7,Ankara,Basic,0
36,32012.0,39,2,51.8,Antalya,Standard,0
21,43513.0,99,2,46.4,Bursa,Basic,0
69,56747.0,10,1,44.6,İzmir,Premium,0
41,52944.0,104,3,38.9,İzmir,Basic,0
65,46741.0,4,2,60.8,İstanbul,Basic,1
53,50137.0,89,3,26.4,İzmir,Basic,1
59,47464.0,42,1,12.8,Ankara,Basic,0
58,54746.0,47,2,53.1,Antalya,Basic,0
28,78487.0,3,0,53.4,İstanbul,Standard,1
37,,85,1,50.6,İstanbul,Basic,1
42,47737.0,20,3,49.3,İzmir,Standard,1
44,55177.0,80,2,36.2,İzmir,Premium,0
20,57328.0,88,4,56.2,İstanbul,Standard,0
46,45306.0,102,3,41.2,İzmir,Standard,1
26,20379.0,85,3,33.2,,Basic,0
57,57904.0,37,0,36.4,İzmir,Basic,0
54,83092.0,89,2,78.4,İstanbul,Basic,0
66,24390.0,100,4,10.8,İstanbul,Premium,0
57,67549.0,39,2,51.0,Ankara,Standard,0
37,46087.0,15,2,11.8,İstanbul,Basic,1
69,50896.0,107,0,40.1,İstanbul,Standard,0
39,33048.0,18,2,34.2,İstanbul,Premium,0
35,45980.0,72,2,4.5,Ankara,Standard,0
65,75401.0,29,2,49.0,Ankara,Standard,0
37,62488.0,16,1,35.2,İzmir,Premium,0
22,83182.0,94,1,4.2,Ankara,Standard,0
42,73193.0,18,1,57.1,İzmir,Standard,0
60,59904.0,81,1,67.8,Antalya,Basic,0
28,83391.0,84,1,68.8,İstanbul,Basic,0
42,59902.0,8,2,48.5,Antalya,Premium,0
24,,21,0,42.8,Ankara,Standard,0
54,46662.0,96,1,65.9,Ankara,Basic,0
43,53198.0,61,1,72.3,Bursa,Standard,1
35,39446.0,15,2,62.4,Bursa,Basic,1
30,69813.0,120,0,25.1,Bursa,Premium,0
47,30791.0,32,0,45.6,Ankara,Basic,0
53,66082.0,1,1,49.9,Bursa,Premium,0
67,48568.0,111,5,9.4,İstanbul,Standard,0
41,73082.0,2,1,50.4,İstanbul,Basic,0
26,65516.0,67,3,82.9,Ankara,Basic,0
62,84772.0,120,4,53.5,,Premium,0
51,65154.0,70,2,68.5,Ankara,Basic,0
55,23703.0,71,1,45.3,Bursa,Basic,1
23,,47,0,40.7,İzmir,Standard,1
34,30904.0,16,3,48.9,Bursa,Basic,1
58,42671.0,69,4,27.3,İzmir,Basic,0
62,79202.0,108,2,24.7,,Basic,0
41,63476.0,11,3,64.8,Ankara,Premium,1
60,39419.0,106,1,66.7,Ankara,Basic,1
62,33753.0,50,0,24.2,İzmir,Basic,0
38,52590.0,65,1,59.4,İstanbul,Basic,0
65,30102.0,20,1,40.4,Ankara,Basic,0
33,39919.0,75,2,48.1,Ankara,Basic,0
30,57616.0,22,4,50.3,İstanbul,Basic,0
54,72796.0,33,4,59.9,Ankara,Basic,0
51,62958.0,87,0,43.5,Ankara,Basic,1
25,15000.0,7,2,67.4,Antalya,Premium,0
